alte Barcodes,Seriennummer,Gerät,Typ,Art,Defekt,vorhanden,Bemerkungen
300010,6904,TLM 170,Neumann,Mikrofone,0,x,
300011,886,TLM 170,Neumann,Mikrofone,0,x,
300012,NULL,K240 MKII,Kopfhörer,Zubehör,0,x,
300013,22512,224C,AKG,Mikrofone,0,x,
300014,NULL,U87-Stativgelenk,Spinnen,Zubehör,0,x,
300015,(21) A10808048711722,Alesis HD24,Recorder,Geräte,0,x,
300016,,,,,,,
300017,NULL,U89-Stativgelenk,Spinnen,Zubehör,0,x,
300018,NULL,U89-Stativgelenk,Spinnen,Zubehör,0,x,
300019,NULL,U89-Stativgelenk,Spinnen,Zubehör,0,x,
300020,NULL,U89-Stativgelenk,Spinnen,Zubehör,0,x,
300021,NULL,LS-Stativ(Beschallung),Stative,Zubehör,0,x,
300022,NULL,LS-Stativ(Beschallung),Stative,Zubehör,0,x,
300023,NULL,LS-Stativ(Beschallung),Stative,Zubehör,0,x,
300024,NULL,LS-Stativ(Beschallung),Stative,Zubehör,0,x,
300025,NULL,LS-Stativ(Beschallung),Stative,Zubehör,0,x,
300026,NULL,ADAT-Kabel 3m,Kabel,Zubehör,0,x,
300027,NULL,Großtuchel (3-Pol) – XLR m,Mikrofonkabel,Zubehör,0,x,
300028,NULL,Großtuchel (5-Pol) – 2 x XLR m,Mikrofonkabel,Zubehör,0,x,
300029,NULL,Großtuchel (6-Pol) – XLR m,Mikrofonkabel,Zubehör,0,x,
300030,NULL,ADAT-Kabel 3m,Kabel,Zubehör,0,x,
300031,NULL,ADAT-Kabel 1m,Kabel,Zubehör,0,x,
300032,NULL,AdaT-Kabel 1m,Kabel,Zubehör,0,x,
300033,NULL,ADAT-Kabel 1m,Kabel,Zubehör,0,x,
300034,NULL,ADAT-Kabel 1m,Kabel,Zubehör,0,x,
300035,NULL,ADAT-Kabel 2m,Kabel,Zubehör,0,x,
300036,NULL,"ADAT-Kabel 7,5m",Kabel,Zubehör,0,x,
300037,NULL,ADAT-Kabel 3m,Kabel,Zubehör,0,x,
300038,NULL,ADAT-Kabel 2m,Kabel,Zubehör,0,x,
300039,NULL,"ADAT-Kabel 7,5m",Kabel,Zubehör,0,x,
300040,NULL,ADaT-Kabel 6m,Kabel,Zubehör,0,x,
300041,NULL,"ADAT-Kabel 7,5m",Kabel,Zubehör,0,x,
300042,NULL,ADAT-Kabel 3m,Kabel,Zubehör,0,x,
300043,NULL,ADAT-Kabel <1m,Kabel,Zubehör,0,x,
300044,NULL,ADAT-Kabel <1m,Kabel,Zubehör,0,x,
300045,NULL,ADAT-Kabel 2m,Kabel,Zubehör,0,x,
300046,NULL,ADAT-Kabel 3m,Kabel,Zubehör,0,x,
300047,NULL,ADAT-Kabel 1m,Kabel,Zubehör,0,x,
300048,NULL,BNC,Kabel,Zubehör,0,x,
300049,NULL,BNC,Kabel,Zubehör,0,x,
300050,NULL,BNC,Kabel,Zubehör,0,x,
